IDP_Agreed_Upon,acq_wf,age,age_bucket,age_delta,availability,career_segment,clearance_level,competency_id,competency_name,devcom_center,development_level,domain,first_name,focus,frequency,full_name,gender,govt_svc,high_edu_achieved,id,last_name,new_acq_wf,num_competencies,num_projects,personnel_type,phone,race,real_email,ret_age,specialization,state,utilization,years_to_retire_age,yrs_to_retire_bucket
TRUE,,57,50-59,35,,,None,36,Results Driven ,AvMC,2 - Mid,Leadership,Sammy,,2,Sammy McQuillen,Female,27.909224,Masters,17,McQuillen,TRUE,2,3,Contractor,485-114-3248,White,Sammy.McQuillen.ctr@mail.mil,57,,AL,100,,0-5
TRUE,,37,30-39,15,,Chem-Bio,Top Secret,19,Detection & Decontamination,CBC,1 - Junior,Science & Technology,Ronni,,1,Ronni Todaro,Male,7.088171,Masters,18,Todaro,TRUE,1,2,Contractor,498-627-1189,Non-White,Ronni.Todaro.ctr@mail.mil,54.911829,,MD,100,18,15-20
TRUE,TRUE,32,30-39,10,,Aviation & Missile,Secret,1,"Fuzing, Guidance, Controls, Seekers",AvMC,1 - Junior,Science & Technology,Ted,Scientists Engineers and Analysts (SEA),1,Ted Bardnam,Male,1.710991,Bachelors,19,Bardnam,TRUE,1,2,Civilian,499-943-0072,White,Ted.Bardnam5@mail.mil,55.289009,Electronics Engineering,AL,100,23,20-25
TRUE,,45,40-49,23,,,Secret,44,Ballistics Sciences,AC,2 - Mid,Foundational Research,Lalo,,2,Lalo Lowden,Male,22.339584,Bachelors,20,Lowden,FALSE,2,2,Contractor,565-806-6731,White,Lalo.Lowden.ctr@mail.mil,47.660416,,NJ,100,3,0-5
TRUE,TRUE,57,50-59,35,,C5ISR,None,15,Power & Energy,C5ISR,3 - Senior,Science & Technology,Merrill,Business,3,Merrill Beddoe,Male,19.513206,Bachelors,21,Beddoe,TRUE,3,2,Civilian,813-619-6300,White,Merrill.Beddoe9@mail.mil,62,,MD,100,5,0-5
TRUE,TRUE,30,30-39,8,40,,Top Secret,46,Computational Sciences,ARL,1 - Junior,Foundational Research,Darcey,Business,1,Darcey Huxton,Female,2.62492,Doctorate,22,Huxton,FALSE,1,2,Civilian,763-626-0607,White,Darcey.Huxton1@mail.mil,52.37508,,MD,60,22,20-25
TRUE,,64,60+,42,20,Chem-Bio,Secret,17,Material Sciences,CBC,5 - Management,Science & Technology,Marmaduke,,4,Marmaduke Freyn,Male,15.093,Bachelors,23,Freyn,TRUE,4,2,Contractor,856-764-3185,White,Marmaduke.Freyn.ctr@mail.mil,64,,MD,80,,0-5
TRUE,TRUE,59,50-59,37,,Armaments,None,6,"Warheads, Propulsion, Energetics, Explosives & Pyrotechnics",AC,5 - Management,Science & Technology,Mareah,Scientists Engineers and Analysts (SEA),4,Mareah Simonel,Male,31.267273,Masters,24,Simonel,TRUE,4,1,Civilian,794-670-8365,White,Mareah.Simonel5@mail.mil,59,Electrical Engineering,NJ,100,,0-5
TRUE,,49,40-49,27,100,Armaments,Secret,9,Materials & Structures,AC,5 - Management,Science & Technology,Artus,,4,Artus Mobius,Male,5.352718,Masters,25,Mobius,FALSE,4,,Contractor,738-305-8804,White,Artus.Mobius.ctr@mail.mil,62,,NJ,,13,10-15
TRUE,TRUE,38,30-39,16,60,,Top Secret,40,Electronics Warfare (EW) Threat Defense,DAC,1 - Junior,Data & Analysis,Keane,Scientists Engineers and Analysts (SEA),1,Keane Wrightham,Female,5.592345,Masters,26,Wrightham,FALSE,1,1,Civilian,982-987-8901,White,Keane.Wrightham5@mail.mil,57.407655,General Engineering,MD,40,19,15-20
TRUE,TRUE,38,30-39,16,,,Secret,46,Computational Sciences,ARL,2 - Mid,Foundational Research,Almeria,Scientists Engineers and Analysts (SEA),2,Almeria Cattenach,Female,1.495099,Masters,27,Cattenach,TRUE,2,3,Civilian,,Non-White,Almeria.Cattenach7@mail.mil,61.504901,Computer Science,MD,100,24,20-25
TRUE,,57,50-59,35,,Soldier,Top Secret,22,Individual/ Collective Protection,SC,3 - Senior,Science & Technology,Leif,,3,Leif Cutchey,Female,3.221851,Bachelors,28,Cutchey,FALSE,3,2,Contractor,425-855-1013,White,Leif.Cutchey.ctr@mail.mil,62,,MA,100,5,0-5
TRUE,TRUE,49,40-49,27,80,Aviation & Missile,Secret,4,Aerial Autonomy,AvMC,4 - Senior Technical Expert,Science & Technology,Rick,Scientists Engineers and Analysts (SEA),5,Rick Pudden,Male,26.625871,Bachelors,29,Pudden,TRUE,5,1,Civilian,,Non-White,Rick.Pudden2@mail.mil,49,General Engineering,AL,20,,0-5
FALSE,TRUE,58,50-59,36,,C5ISR,Top Secret,14,Knowledge Management,C5ISR,4 - Senior Technical Expert,Science & Technology,Cal,Scientists Engineers and Analysts (SEA),5,Cal Myers,Male,13.236783,Bachelors,30,Myers,TRUE,5,3,Civilian,377-329-1677,Non-White,Cal.Myers8@mail.mil,62,General Engineering,MD,100,4,0-5
TRUE,TRUE,58,50-59,36,20,,Secret,76,Operations Research ,CBC,2 - Mid,Lifecycle Engineering,Starlin,Scientists Engineers and Analysts (SEA),2,Starlin Balham,Male,26.228105,Associates,31,Balham,FALSE,2,2,Civilian,,Non-White,Starlin.Balham9@mail.mil,58,General Engineering,MD,80,,0-5
TRUE,TRUE,36,30-39,14,40,,None,36,Results Driven ,HQ,2 - Mid,Leadership,Ashli,Scientists Engineers and Analysts (SEA),2,Ashli Jerrard,Female,10.441953,Bachelors,32,Jerrard,FALSE,2,2,Civilian,420-750-6145,White,Ashli.Jerrard2@mail.mil,50.558047,General Engineering,MD,60,15,10-15
TRUE,,44,40-49,22,40,,None,57,Info Mgmt,C5ISR,5 - Management,Business,Algernon,,4,Algernon Calles,Male,5.653223,Bachelors,33,Calles,TRUE,4,2,Contractor,665-233-5037,Non-White,Algernon.Calles.ctr@mail.mil,62,,MD,60,18,15-20
FALSE,TRUE,60,60+,38,,C5ISR,Secret,11,Radio Frequency,C5ISR,3 - Senior,Science & Technology,Morey,Scientists Engineers and Analysts (SEA),3,Morey Blaxter,Female,16.731895,Masters,34,Blaxter,TRUE,3,3,Civilian,573-871-1819,Non-White,Morey.Blaxter8@mail.mil,62,Physics,MD,100,2,0-5
FALSE,TRUE,37,30-39,15,100,C5ISR,None,12,Cyber,C5ISR,2 - Mid,Science & Technology,Danielle,Scientists Engineers and Analysts (SEA),2,Danielle Habercham,Female,0.771025,Bachelors,35,Habercham,TRUE,2,,Civilian,703-134-4400,White,Danielle.Habercham5@mail.mil,61.228975,General Engineering,MD,,24,20-25
TRUE,,26,20-29,4,,,Secret,70,Production & Manufacturing,AC,1 - Junior,Lifecycle Engineering,Mady,,1,Mady Thieme,Female,0.254006,Masters,36,Thieme,TRUE,1,2,Contractor,882-158-6093,Non-White,Mady.Thieme.ctr@mail.mil,50.745994,,NJ,100,25,20-25
TRUE,TRUE,53,50-59,31,60,,TS-SCI,43,Protection Sciences,ARL,5 - Management,Foundational Research,Pavia,Business,4,Pavia Quinion,Male,16.334456,Bachelors,37,Quinion,TRUE,4,1,Civilian,356-911-2450,White,Pavia.Quinion2@mail.mil,61.665544,,MD,40,9,05-10
TRUE,TRUE,50,50-59,28,100,,None,47,Network & Information Sciences,ARL,2 - Mid,Foundational Research,Pavla,Scientists Engineers and Analysts (SEA),2,Pavla Lowndsbrough,Male,17.02592,Masters,38,Lowndsbrough,FALSE,2,,Civilian,591-367-8946,White,Pavla.Lowndsbrough9@mail.mil,57.97408,Electrical Engineering,MD,,8,05-10
TRUE,,45,40-49,23,60,C5ISR,Secret,15,Power & Energy,C5ISR,5 - Management,Science & Technology,Moreen,,4,Moreen Jaggar,Female,4.331591,Masters,39,Jaggar,FALSE,4,1,Contractor,,Non-White,Moreen.Jaggar.ctr@mail.mil,62,,MD,40,17,15-20
TRUE,TRUE,24,20-29,2,80,C5ISR,None,14,Knowledge Management,C5ISR,1 - Junior,Science & Technology,Artair,Scientists Engineers and Analysts (SEA),1,Artair Lyne,Male,1.320836,Bachelors,40,Lyne,FALSE,1,1,Civilian,884-642-3880,White,Artair.Lyne2@mail.mil,47.679164,General Engineering,MD,20,24,20-25
FALSE,TRUE,52,50-59,30,20,Soldier,Secret,26,Army Training Tech ,SC,3 - Senior,Science & Technology,Ellie,Engineering Technician,3,Ellie Dorro,Female,2.702634,Masters,41,Dorro,TRUE,3,2,Civilian,,Non-White,Ellie.Dorro3@mail.mil,62,,MA,80,10,05-10
TRUE,,45,40-49,23,20,,None,45,Materials & Manufacturing Sciences,GvSC,3 - Senior,Foundational Research,Kenn,,3,Kenn Steely,Female,2.909474,Bachelors,42,Steely,FALSE,3,1,Military,136-382-1416,White,Kenn.Steely9@mail.mil,62,,MI,80,17,15-20
TRUE,,23,20-29,1,40,,None,52,Contract/ Acquisitions,AvMC,2 - Mid,Business,Maximilian,,2,Maximilian Casino,Female,0.359684,Bachelors,43,Casino,TRUE,2,2,Contractor,670-542-7801,White,Maximilian.Casino.ctr@mail.mil,47.640316,,AL,60,25,20-25
TRUE,TRUE,37,30-39,15,100,,Top Secret,44,Ballistics Sciences,AC,1 - Junior,Foundational Research,Rosabelle,Scientists Engineers and Analysts (SEA),1,Rosabelle Tallyn,Male,5.781348,Bachelors,44,Tallyn,TRUE,1,,Civilian,723-376-1913,White,Rosabelle.Tallyn3@mail.mil,56.218652,Mechanical Engineering,NJ,,19,15-20
TRUE,FALSE,43,40-49,21,,,Secret,70,Production & Manufacturing,AC,4 - Senior Technical Expert,Lifecycle Engineering,Jaine,Business,5,Jaine Grafham,Female,17.364328,Bachelors,45,Grafham,TRUE,5,3,Civilian,893-960-8238,White,Jaine.Grafham10@mail.mil,50.635672,,NJ,100,8,05-10
TRUE,FALSE,48,40-49,26,80,,None,36,Results Driven ,ARL,5 - Management,Leadership,Chad,Scientists Engineers and Analysts (SEA),4,Chad Bovey,Male,11.532871,Masters,46,Bovey,FALSE,4,1,Civilian,812-996-0092,Non-White,Chad.Bovey6@mail.mil,61.467129,Electronics Engineering,MD,20,13,10-15
TRUE,FALSE,56,50-59,34,100,Ground Vehicle,Secret,29,Propulsion & Mobility,GvSC,5 - Management,Science & Technology,Laurie,Business,4,Laurie Dobbinson,Male,20.653738,Masters,47,Dobbinson,FALSE,4,,Civilian,418-614-4141,White,Laurie.Dobbinson5@mail.mil,60.346262,,MI,,4,0-5
TRUE,,21,20-29,-1,,,None,49,General Support,DAC,1 - Junior,Business,Malinda,,1,Malinda Belshaw,Female,,Masters,48,Belshaw,TRUE,1,3,Contractor,738-755-6489,Non-White,Malinda.Belshaw.ctr@mail.mil,46,,MD,100,25,20-25
TRUE,,18,20-29,-4,,Aviation & Missile,None,5,Air Defense Sensor Tech,AvMC,2 - Mid,Science & Technology,Munroe,,2,Munroe Bulger,Male,,Masters,49,Bulger,TRUE,2,3,Contractor,810-998-2628,White,Munroe.Bulger.ctr@mail.mil,43,,AL,100,25,20-25
TRUE,TRUE,53,50-59,31,,Chem-Bio,TS-SCI,17,Material Sciences,ARL,3 - Senior,Science & Technology,Keene,Scientists Engineers and Analysts (SEA),3,Keene Cleynman,Female,8.614345,Bachelors,50,Cleynman,TRUE,3,2,Civilian,709-618-7884,White,Keene.Cleynman7@mail.mil,62,Computer Engineering,MD,100,9,05-10
FALSE,TRUE,61,60+,39,100,,Secret,75,Data Science,AC,5 - Management,Lifecycle Engineering,Ellette,Scientists Engineers and Analysts (SEA),4,Ellette McBrearty,Female,2.203293,Bachelors,51,McBrearty,TRUE,4,,Civilian,510-672-3926,Non-White,Ellette.McBrearty9@mail.mil,62,Psychology,NJ,,1,0-5
TRUE,TRUE,48,40-49,26,,,None,71,Sustainment Engineering,AvMC,2 - Mid,Lifecycle Engineering,Aimee,Scientists Engineers and Analysts (SEA),2,Aimee Brodeur,Male,6.71812,Masters,52,Brodeur,TRUE,2,1,Civilian,,White,Aimee.Brodeur8@mail.mil,62,Physical Science,AL,100,14,10-15
TRUE,,21,20-29,-1,100,,None,62,Safety,AvMC,1 - Junior,Business,Orbadiah,,1,Orbadiah Cockayne,Female,,Associates,53,Cockayne,TRUE,1,,Contractor,346-360-8075,Non-White,Orbadiah.Cockayne.ctr@mail.mil,46,,AL,,25,20-25
FALSE,,58,50-59,36,20,Armaments,None,6,"Warheads, Propulsion, Energetics, Explosives & Pyrotechnics",AC,5 - Management,Science & Technology,Kearney,,4,Kearney Reye,Male,0.685264,Bachelors,54,Reye,FALSE,4,2,Contractor,262-423-3200,Non-White,Kearney.Reye.ctr@mail.mil,62,,NJ,80,4,0-5
TRUE,FALSE,30,30-39,8,,,TS-SCI,60,Operations,ARL,3 - Senior,Business,Ynez,Scientists Engineers and Analysts (SEA),3,Ynez Gant,Male,2.489858,Doctorate,55,Gant,TRUE,3,1,Civilian,853-854-2569,Non-White,Ynez.Gant8@mail.mil,52.510142,Electronics Engineering,MD,100,23,20-25
TRUE,TRUE,56,50-59,34,40,,None,63,Security,GvSC,2 - Mid,Business,Myranda,Scientists Engineers and Analysts (SEA),2,Myranda Lowater,Male,4.223546,Masters,56,Lowater,TRUE,2,1,Civilian,142-237-6520,White,Myranda.Lowater7@mail.mil,62,Electrical Engineering,MI,60,6,05-10
TRUE,,23,20-29,1,,C5ISR,None,15,Power & Energy,C5ISR,2 - Mid,Science & Technology,Saloma,,2,Saloma Pasquale,Male,0.706129,Bachelors,57,Pasquale,TRUE,2,2,Contractor,297-437-0672,Non-White,Saloma.Pasquale.ctr@mail.mil,47.293871,,MD,100,24,20-25
TRUE,,32,30-39,10,,,None,46,Computational Sciences,ARL,3 - Senior,Foundational Research,Bryna,,3,Bryna Eringey,Female,0.17808,Masters,58,Eringey,TRUE,3,2,Contractor,134-428-7529,White,Bryna.Eringey.ctr@mail.mil,56.82192,,MD,100,25,20-25
TRUE,TRUE,39,30-39,17,80,Armaments,Secret,8,"Ballistics, Targeting, Stabilization & Automation",AC,4 - Senior Technical Expert,Science & Technology,Rudie,Scientists Engineers and Analysts (SEA),5,Rudie De Banke,Female,2.222309,Bachelors,59,De Banke,FALSE,5,1,Civilian,358-447-9117,Non-White,Rudie.De Banke7@mail.mil,61.777691,Analysis & Operations Research,NJ,20,23,20-25
TRUE,FALSE,45,40-49,23,,,None,71,Sustainment Engineering,AvMC,3 - Senior,Lifecycle Engineering,Bevon,Scientists Engineers and Analysts (SEA),3,Bevon Blabie,Male,17.610964,Bachelors,60,Blabie,TRUE,3,3,Civilian,925-100-8658,White,Bevon.Blabie2@mail.mil,52.389036,Mechanical Engineering,AL,100,7,05-10
TRUE,,54,50-59,32,,C5ISR,Secret,15,Power & Energy,C5ISR,2 - Mid,Science & Technology,Milicent,,2,Milicent Dohmann,Female,11.217826,Bachelors,61,Dohmann,TRUE,2,2,Contractor,,Non-White,Milicent.Dohmann.ctr@mail.mil,62,,MD,100,8,05-10
FALSE,TRUE,39,30-39,17,80,Ground Vehicle,Secret,29,Propulsion & Mobility,GvSC,2 - Mid,Science & Technology,Damaris,Scientists Engineers and Analysts (SEA),2,Damaris Ruppele,Female,16.092186,Masters,62,Ruppele,FALSE,2,1,Civilian,864-334-8213,White,Damaris.Ruppele6@mail.mil,47.907814,Mechanical Engineering,MI,20,9,05-10
TRUE,TRUE,49,40-49,27,,Chem-Bio,Top Secret,18,Threat Agent Science & Toxicology,CBC,3 - Senior,Science & Technology,Redd,Scientists Engineers and Analysts (SEA),3,Redd Loveredge,Male,0.865922,Bachelors,63,Loveredge,TRUE,3,1,Civilian,943-548-3178,White,Redd.Loveredge3@mail.mil,62,Computer Engineering,MD,100,13,10-15
TRUE,,26,20-29,4,80,,Secret,66,Integrated Computational Design,CBC,1 - Junior,Lifecycle Engineering,Lynette,,1,Lynette Hitscher,Male,2.281945,Bachelors,64,Hitscher,TRUE,1,1,Contractor,529-662-6166,White,Lynette.Hitscher.ctr@mail.mil,48.718055,,MD,20,23,20-25
TRUE,,30,30-39,8,20,Armaments,Top Secret,7,"Fuzing, Guidance & Controls, Seekers & Scalable Effects",AC,2 - Mid,Science & Technology,Rasla,,2,Rasla Crathorne,Female,1.782878,Bachelors,65,Crathorne,TRUE,2,1,Contractor,849-919-4201,Non-White,Rasla.Crathorne.ctr@mail.mil,53.217122,,NJ,80,23,20-25
TRUE,FALSE,63,60+,41,,,Secret,58,Intelligence,HQ,5 - Management,Business,Kaiser,Scientists Engineers and Analysts (SEA),4,Kaiser Ockwell,Female,19.016465,Masters,66,Ockwell,FALSE,4,1,Civilian,405-334-4364,Non-White,Kaiser.Ockwell8@mail.mil,63,Computer Science,MD,100,,0-5
TRUE,TRUE,37,30-39,15,,Armaments,None,6,"Warheads, Propulsion, Energetics, Explosives & Pyrotechnics",AC,3 - Senior,Science & Technology,Rikki,Scientists Engineers and Analysts (SEA),3,Rikki Pagnin,Female,8.461232,Masters,67,Pagnin,TRUE,3,1,Civilian,493-489-7911,White,Rikki.Pagnin9@mail.mil,53.538768,Computer Engineering,NJ,100,17,15-20
TRUE,,57,50-59,35,,,None,63,Security,AC,4 - Senior Technical Expert,Business,Kimmie,,5,Kimmie Keizman,Female,20.400796,Masters,68,Keizman,TRUE,5,2,Contractor,981-664-4008,Non-White,Kimmie.Keizman.ctr@mail.mil,61.599204,,NJ,100,5,0-5
TRUE,TRUE,63,60+,41,,Aviation & Missile,Secret,3,"Propulsion, Explosives, Energetics & Warheads",AvMC,5 - Management,Science & Technology,Chicky,Engineering Technician,4,Chicky Gregoli,Male,15.858192,Bachelors,69,Gregoli,TRUE,4,2,Civilian,,White,Chicky.Gregoli4@mail.mil,63,,AL,100,,0-5
TRUE,,65,60+,43,20,,TS-SCI,67,Modeling & Simulation,ARL,3 - Senior,Lifecycle Engineering,Dolli,,3,Dolli Selkirk,Female,4.613413,Bachelors,70,Selkirk,FALSE,3,2,Contractor,917-283-5438,Non-White,Dolli.Selkirk.ctr@mail.mil,62,,MD,80,-3,0-5
TRUE,TRUE,53,50-59,31,,Chem-Bio,Secret,16,Aerosol Sciences,CBC,5 - Management,Science & Technology,Gratiana,Scientists Engineers and Analysts (SEA),4,Gratiana Heiss,Male,22.041405,Bachelors,71,Heiss,FALSE,4,1,Civilian,845-523-3523,Non-White,Gratiana.Heiss9@mail.mil,55.958595,General Engineering,MD,100,3,0-5
TRUE,,37,30-39,15,,,None,36,Results Driven ,DAC,2 - Mid,Leadership,Brigitte,,2,Brigitte Polden,Male,12.534041,Bachelors,72,Polden,TRUE,2,1,Contractor,720-192-3207,White,Brigitte.Polden.ctr@mail.mil,49.465959,,MD,100,12,10-15
TRUE,FALSE,38,30-39,16,,Aviation & Missile,None,3,"Propulsion, Explosives, Energetics & Warheads",AvMC,4 - Senior Technical Expert,Science & Technology,Doralin,Business,5,Doralin Fareweather,Female,2.296259,Bachelors,73,Fareweather,TRUE,5,1,Civilian,559-935-1849,White,Doralin.Fareweather8@mail.mil,60.703741,,AL,100,23,20-25
TRUE,TRUE,53,50-59,31,,Armaments,None,6,"Warheads, Propulsion, Energetics, Explosives & Pyrotechnics",AC,4 - Senior Technical Expert,Science & Technology,Jaquelyn,Scientists Engineers and Analysts (SEA),5,Jaquelyn Molloy,Male,0.250742,Masters,74,Molloy,TRUE,5,2,Civilian,,White,Jaquelyn.Molloy5@mail.mil,62,General Engineering,NJ,100,9,05-10
TRUE,,37,30-39,15,,Ground Vehicle,Top Secret,31,Fuel & Lubricants ,GvSC,4 - Senior Technical Expert,Science & Technology,Belita,,5,Belita Haimes,Female,7.894722,Bachelors,75,Haimes,TRUE,5,2,Military,539-892-5097,White,Belita.Haimes1@mail.mil,54.105278,,MI,100,17,15-20
TRUE,TRUE,60,60+,38,,Aviation & Missile,Secret,5,Air Defense Sensor Tech,AvMC,5 - Management,Science & Technology,Dorry,Scientists Engineers and Analysts (SEA),4,Dorry Sone,Male,20.270157,Bachelors,76,Sone,TRUE,4,3,Civilian,999-964-6967,White,Dorry.Sone5@mail.mil,60,Biology,AL,100,,0-5
TRUE,TRUE,51,50-59,29,80,Armaments,Secret,8,"Ballistics, Targeting, Stabilization & Automation",AC,5 - Management,Science & Technology,Michaela,Scientists Engineers and Analysts (SEA),4,Michaela Bryant,Female,19.524623,Bachelors,77,Bryant,TRUE,4,1,Civilian,789-710-1987,White,Michaela.Bryant2@mail.mil,56.475377,Mechanical Engineering,NJ,20,5,0-5
TRUE,,65,60+,43,,Armaments,Secret,7,"Fuzing, Guidance & Controls, Seekers & Scalable Effects",AC,4 - Senior Technical Expert,Science & Technology,Chadwick,,5,Chadwick Henrot,Male,21.53862,Masters,78,Henrot,FALSE,5,3,Contractor,503-222-0666,White,Chadwick.Henrot.ctr@mail.mil,65,,NJ,100,,0-5
FALSE,,50,50-59,28,,,Secret,45,Materials & Manufacturing Sciences,ARL,3 - Senior,Foundational Research,Kain,,3,Kain Grzelczyk,Female,25.377697,Doctorate,79,Grzelczyk,TRUE,3,1,Contractor,687-184-2626,White,Kain.Grzelczyk.ctr@mail.mil,50,,MD,100,,0-5
TRUE,,33,30-39,11,,Armaments,Secret,8,"Ballistics, Targeting, Stabilization & Automation",AC,2 - Mid,Science & Technology,Nathalia,,2,Nathalia Lukins,Male,7.594766,Masters,80,Lukins,TRUE,2,1,Contractor,504-723-3295,Non-White,Nathalia.Lukins.ctr@mail.mil,50.405234,,NJ,100,17,15-20
TRUE,,54,50-59,32,,Aviation & Missile,Top Secret,1,"Fuzing, Guidance, Controls, Seekers",AvMC,2 - Mid,Science & Technology,Paton,,2,Paton Bohills,Female,19.490985,Bachelors,81,Bohills,TRUE,2,3,Contractor,,White,Paton.Bohills.ctr@mail.mil,59.509015,,AL,100,6,05-10
TRUE,TRUE,51,50-59,29,,Armaments,Secret,7,"Fuzing, Guidance & Controls, Seekers & Scalable Effects",AC,2 - Mid,Science & Technology,Louella,Engineering Technician,2,Louella Audritt,Male,10.458425,Masters,82,Audritt,TRUE,2,2,Civilian,574-747-5839,White,Louella.Audritt1@mail.mil,62,,NJ,100,11,10-15
