Alignment_w_Promulgation_of_Command_Priorites,Any_issues,Average_Rating,Blanking_1_shown_data_don_t_show_this_data_i_e_blank,Cash,Cash_Awards_Bins,Cash_Bins,Cash_Provided,Critical_Thinking_Innovation,Deliver_Results,Employee_Lname_Fname,Employee_Salary,Engagement_Collaboration,Grade,HLR_Lname,ID,Leading_People_Leading_Change,Notes,Org,Overall_Rating,QSI,QSI_Approved,Rater_Lname,Series,Step,Supervisor_Employee,TOA,TOA_Bins,TOA_Provide,TOA_Range_Guidance,Technical_Competence,Total_Award,Within_Guidance,of_Annual_Salary_Cash_Award_Range_Guidance
5,Total Award too High,3.8,1,3675, $3000-4000 , 3-4% ,3.17,3,5,TANIQUA MORGAN,115817,3,14,JOSE VARGAS,0031H00001rEkl4QAC,3,,CAG,Level 3 - Fully Successful,No,,DENNIS WILLIAMS,1035,08,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3.17311,No,1.6 - 2.5
3,Total Award too High,4.6,1,5500,>$5000,>4%,5.02,5,5,BRUNO MOSQUEIRA,109557,5,14,JOSE VARGAS,0031H00001rEkl5QAC,5,,CAG,Level 5 - Outstanding,No,,DENNIS WILLIAMS,0301,06,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,5.02022,No,3.6 - 4.0
5,Total Award too High,4.6,1,2695, $2000-3000 , 2-3% ,2.69,5,5,KC SANCHEZ,100167,3,14,JOSE VARGAS,0031H00001rEkl6QAC,,,CAG,Level 5 - Outstanding,No,,DENNIS WILLIAMS,0301,03,Employee,40,"40 hours, (2%)",2,0 - 40,5,4.69051,No,3.6 - 4.0
3,No issues,4.2,1,1700, $1000-2000 , 1-2% ,1.19,5,5,GREGORY BOIVIN,142785,3,14,JOSE VARGAS,0031H00001rEkl8QAC,,,CAG,Level 3 - Fully Successful,No,,DENNIS WILLIAMS,1035,00,Employee,40,"40 hours, (2%)",2,0 - 40,5,3.1906,Yes,2.6 - 3.5
5,No issues,4.2,1,3992, $3000-4000 , 3-4% ,3.11,3,3,JONATHAN GAZAILLE,128201,5,14,JOSE VARGAS,0031H00001rEklAQAS,,,CAG,Level 3 - Fully Successful,No,,DENNIS WILLIAMS,0301,00,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.11386,Yes,2.6 - 3.5
3,Total Award too High,4.2,1,3871, $3000-4000 ,>4%,4.46,3,5,HENRY BROWN,86881,5,12,KEVIN WARD,0031H00001rEkl9QAC,,,CAG,Level 3 - Fully Successful,No,,Bobby Hodges,0301,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.45552,No,2.6 - 3.5
5,Total Award too High,4.6,1,4280, $4000-5000 ,>4%,5.19,3,5,CHARLES TELLIS,82425,5,12,KEVIN WARD,0031H00001rEkl7QAC,,,CAG,Level 5 - Outstanding,No,,ZARRIEFA MOHAMED,0301,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,5.1926,No,3.6 - 4.0
5,No issues,5,1,,   $0   ,  0%  ,,5,5,NIKETA HOPSON,147034,5,14,KEVIN WARD,0031H00001rEklBQAS,,,CAG,Level 5 - Outstanding,Yes,Yes,ZARRIEFA MOHAMED,1035,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
3,Total Award too Low,3.4,1,1418, $1000-2000 , <1% ,0.99,3,3,LESLIE KINGMANN,142950,3,14,KEVIN WARD,0031H00001rEklCQAS,,,CAG,Level 3 - Fully Successful,No,,ZARRIEFA MOHAMED,1060,06,Employee,,"  0 hours, (0%)  ",,0 - 30,5,0.99196,No,1.1 - 1.5
3,Total Award too Low,4.2,1,3225, $3000-4000 , 2-3% ,2.39,3,5,JERED BIERS,134782,5,14,KEVIN WARD,0031H00001rEkwnQAC,,,CAG,Level 3 - Fully Successful,No,,ZARRIEFA MOHAMED,0301,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.39275,No,2.6 - 3.5
5,Total Award too Low,5,1,,   $0   ,  0%  ,,5,5,RANDY BLACKBURN,117516,5,13,JOSE VARGAS,0031H00001rEkwoQAC,5,Award not submitted,CG,Level 5 - Outstanding,No,,VACANT BILLET,1801,05,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,,No,4.1 - 4.5
5,Total Award too Low,5,1,,   $0   ,  0%  ,,5,5,MARK BLACKBURN,114059,5,13,JOSE VARGAS,0031H00001rEkwpQAC,5,Award not submitted,CG,Level 5 - Outstanding,No,,VACANT BILLET,0301,04,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,,No,4.1 - 4.5
5,Total Award too Low,5,1,,   $0   ,  0%  ,,5,5,KEITH BLACKBURN,110603,5,13,JOSE VARGAS,0031H00001rEkwqQAC,,Award not submitted,CG,Level 5 - Outstanding,No,,VACANT BILLET,1515,03,Employee,,"  0 hours, (0%)  ",,0 - 40,5,,No,4.1 - 4.5
5,Total Award too High,4.6,1,6500,>$5000,>4%,6.07,3,5,PETER BLACKBURN,107146,5,13,SHANE PERRY,0031H00001rEkwsQAC,5,,COS,Level 5 - Outstanding,No,,ROBERT T LAROSE,0905,02,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,6.06649,No,3.6 - 4.0
5,Total Award too High,4.2,1,6000,>$5000,>4%,5.79,3,3,DAVID BLACKBURN,103690,5,13,SHANE PERRY,0031H00001rEkwtQAC,5,,COS,Level 3 - Fully Successful,No,,ROBERT T LAROSE,0801,01,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,5.78648,No,2.6 - 3.5
5,Total Award too High,5,1,7500,>$5000,>4%,7.93,5,5,THOMAS BLACKBURN,94581,5,11,SHANE PERRY,0031H00001rEkwuQAC,5,,COS,Level 5 - Outstanding,No,,ROBERT T LAROSE,0505,10,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,7.92971,No,4.1 - 4.5
5,Total Award too Low,4.6,1,2800, $2000-3000 , 3-4% ,3.04,5,3,LARRY BLACKBURN,92155,5,11,SHANE PERRY,0031H00001rEkwvQAC,5,Prorated 5 months,COS,Level 5 - Outstanding,No,,ROBERT T LAROSE,2210,09,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3.03836,No,3.6 - 4.0
5,No issues,4.6,1,6500,>$5000, 3-4% ,3.98,5,3,JERED BLACKBURN,163345,5,15,SHANE PERRY,0031H00001rEkwwQAC,5,,COS,Level 5 - Outstanding,No,,ROBERT T LAROSE,0301,05,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3.97931,Yes,3.6 - 4.0
5,Total Award too Low,4.2,1,4000,   $0   , 2-3% ,2.52,5,3,FELISA BLACKBURN,158541,3,15,SHANE PERRY,0031H00001rEkwxQAC,5,,COS,Level 3 - Fully Successful,No,,ROBERT T LAROSE,0340,04,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,2.52301,No,2.6 - 3.5
5,No issues,4.2,1,4500, $4000-5000 , 2-3% ,2.75,3,5,STEPHON BLACKBURN,163345,5,15,SHANE PERRY,0031H00001rEkwyQAC,3,,COS,Level 3 - Fully Successful,No,,ROBERT T LAROSE,0511,05,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,2.75491,Yes,2.6 - 3.5
5,Total Award too Low,4.2,1,2000,   $0   , 1-2% ,1.16,3,3,WILLIAM BLANCHARD,172500,5,15,SHANE PERRY,0031H00001rEkwzQAC,5,Prorated 7 months,COS,Level 3 - Fully Successful,No,,ROBERT T LAROSE,0301,10,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,1.15942,No,2.6 - 3.5
3,No issues,4.2,1,5000,   $0   , 2-3% ,2.9,3,5,PATRICK BLACKBURN,172500,5,15,JOSE VARGAS,0031H00001rEkwrQAC,,,COS,Level 3 - Fully Successful,No,,ROBERT T LAROSE,0301,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.89855,Yes,2.6 - 3.5
5,Total Award too Low,4.6,1,6200,>$5000, 3-4% ,3.59,5,5,BRANDON BRYAN,172500,5,15,RAY HENRY,0031H00001rEkmcQAC,3,,G1,Level 5 - Outstanding,No,,ROBERT HOFFMAN,0301,10,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3.5942,No,3.6 - 4.0
5,Total Award too Low,5,1,6600,>$5000, 3-4% ,3.83,5,5,TIMOTHY DANIELS,172500,5,15,RAY HENRY,0031H00001rEkmdQAC,5,,G1,Level 5 - Outstanding,No,,ROBERT HOFFMAN,0201,10,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3.82609,No,4.1 - 4.5
5,Total Award too Low,4.6,1,5200,>$5000, 3-4% ,3.01,5,5,LARRY HOGAN,172500,5,15,RAY HENRY,0031H00001rEkmeQAC,3,,G1,Level 5 - Outstanding,No,,ROBERT HOFFMAN,1701,09,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,3.01449,No,3.6 - 4.0
5,Total Award too High,4.2,1,3700, $3000-4000 , 2-3% ,2.57,5,3,JASON JANCZAK,144128,5,15,RAY HENRY,0031H00001rEkmfQAC,3,exception over 4.5% for dual hatted position,G1,Level 3 - Fully Successful,No,,ROBERT HOFFMAN,0301,01,Supervisor,20,"20-30 hours, (1-1.5%)",1,0 - 40,,3.56716,No,2.6 - 3.5
5,No issues,4.2,1,3700, $3000-4000 , 2-3% ,2.66,5,3,KANE KUKOWSKI,138866,5,14,RAY HENRY,0031H00001rEkmgQAC,3,,G1,Level 3 - Fully Successful,No,,ROBERT HOFFMAN,0201,05,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,2.66444,Yes,2.6 - 3.5
3,No issues,3.8,1,3000,   $0   , 2-3% ,2.45,3,3,CHARLESWORTH NELSON,122530,5,14,RAY HENRY,0031H00001rEkmhQAC,,,G1,Level 3 - Fully Successful,No,,ROBERT HOFFMAN,0301,01,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.44838,Yes,1.6 - 2.5
3,No issues,3.8,1,3300, $3000-4000 , 1-2% ,1.91,5,3,ARCHIE HERNDON,172500,5,15,JOSEPH QUENGA,0031H00001rEklMQAS,,,G1,Level 3 - Fully Successful,No,,VINCENT ERNO,0301,10,Employee,,"  0 hours, (0%)  ",,0 - 40,3,1.91304,Yes,1.6 - 2.5
3,Total Award too Low,4.6,1,3500, $3000-4000 , 2-3% ,2.2,5,5,VACANT BILLET VACANT BILLET,159286,5,14,JOSEPH QUENGA,0031H00001rEklOQAS,,,G1,Level 5 - Outstanding,No,,VINCENT ERNO,0201,10,Employee,24,"20-30 hours, (1-1.5%)",1.2,0 - 40,5,3.39731,No,3.6 - 4.0
5,Total Award too Low,4.6,1,5200,>$5000, 3-4% ,3.44,3,5,TIMOTHY WATKINS,151118,5,14,JOSEPH QUENGA,0031H00001rEklGQAS,,,G1,Level 5 - Outstanding,No,,KEVIN LORENZO,0301,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.44102,No,3.6 - 4.0
3,No issues,4.2,1,4000,   $0   , 3-4% ,3.06,3,5,PETER SPOLARICH,130698,5,14,JOSEPH QUENGA,0031H00001rEkmjQAC,,,G1,Level 3 - Fully Successful,No,,James Davie,0301,03,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.06049,Yes,2.6 - 3.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,CHANELL EDWARDS,122530,5,14,JOSEPH QUENGA,0031H00001rEkmmQAC,,,G1,Level 5 - Outstanding,Yes,Yes,James Davie,0201,01,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,Total Award too High,3.4,1,1800, $1000-2000 , 1-2% ,1.68,3,3,MATTHEW FERNANDEZ,107146,3,13,JOSEPH QUENGA,0031H00001rEkmnQAC,,,G1,Level 3 - Fully Successful,No,,James Davie,0201,02,Employee,,"  0 hours, (0%)  ",,0 - 30,3,1.67995,No,1.1 - 1.5
5,Total Award too Low,4.2,1,3500, $3000-4000 , 2-3% ,2.38,3,3,SHARON LARGE,147034,5,14,JOSEPH QUENGA,0031H00001rEklDQAS,,,G1,Level 3 - Fully Successful,No,,James Davie,0301,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.3804,No,2.6 - 3.5
5,No issues,5,1,,   $0   ,  0%  ,,5,5,DANIEL LOWE,134798,5,13,JOSEPH QUENGA,0031H00001rEklEQAS,,,G1,Level 5 - Outstanding,Yes,Yes,James Davie,0201,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,No issues,4.2,1,2750, $2000-3000 , 2-3% ,2.04,3,3,TIFFANY ZWART,134798,5,13,JOSEPH QUENGA,0031H00001rEklIQAS,,,G1,Level 3 - Fully Successful,No,,James Davie,0201,10,Employee,18,"10-20 hours, (0.5-1%)",0.9,0 - 40,5,2.94009,Yes,2.6 - 3.5
3,No issues,3,1,1100, $1000-2000 , <1% ,0.84,3,3,TRACY YATES,131341,3,13,JOSEPH QUENGA,0031H00001rEklJQAS,,,G1,Level 3 - Fully Successful,No,,James Davie,0301,09,Employee,,"  0 hours, (0%)  ",,0 - 20,3,0.83751,Yes,0.0 - 1.0
5,No issues,5,1,,   $0   ,  0%  ,,5,5,BRIAN HARRIS,131341,5,13,JOSEPH QUENGA,0031H00001rEklLQAS,,,G1,Level 5 - Outstanding,Yes,Yes,James Davie,1701,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3,Yes,4.1 - 4.5
5,No issues,4.2,1,3700, $3000-4000 , 2-3% ,2.89,3,5,PAUL HERZBERG,127885,5,13,JOSEPH QUENGA,0031H00001rEklNQAS,,,G1,Level 3 - Fully Successful,No,,James Davie,0301,08,Employee,,"  0 hours, (0%)  ",,0 - 40,3,2.89322,Yes,2.6 - 3.5
5,No issues,4.6,1,3000,   $0   , 2-3% ,2.41,5,5,FARIDA DURHAM,124428,3,13,JOSEPH QUENGA,0031H00001rEklKQAS,,,G1,Level 5 - Outstanding,No,,MARLON HAUGHTON,0201,07,Employee,24,"20-30 hours, (1-1.5%)",1.2,0 - 40,5,3.61103,Yes,3.6 - 4.0
3,No issues,4.2,1,2750, $2000-3000 , 2-3% ,2.21,5,3,MICHAEL PIERCE,124428,5,13,JOSEPH QUENGA,0031H00001rEkmiQAC,,,G1,Level 3 - Fully Successful,No,,DOUGLAS JENKINS,1701,07,Employee,18,"10-20 hours, (0.5-1%)",0.9,0 - 40,5,3.11011,Yes,2.6 - 3.5
5,Total Award too Low,4.6,1,4100, $4000-5000 , 3-4% ,3.39,3,5,DAVID ALTIER,120972,5,13,JOSEPH QUENGA,0031H00001rEkmkQAC,,,G1,Level 5 - Outstanding,No,,DOUGLAS JENKINS,0201,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.38921,No,3.6 - 4.0
5,No issues,4.6,1,2500, $2000-3000 , 2-3% ,2.19,5,3,SALVADOR CABALLERO,114059,5,13,JOSEPH QUENGA,0031H00001rEkmlQAC,,,G1,Level 5 - Outstanding,No,,DOUGLAS JENKINS,0201,04,Employee,30,"30-40 hours, (1.5-2%)",1.5,0 - 40,5,3.69185,Yes,3.6 - 4.0
3,Total Award too Low,4.2,1,,   $0   ,  0%  ,,3,5,ALVARO GONZALEZ,114059,5,13,JOSEPH QUENGA,0031H00001rEkmoQAC,,Prorated 3 months,G1,Level 3 - Fully Successful,No,,DOUGLAS JENKINS,0201,04,Employee,10,"10-20 hours, (0.5-1%)",0.5,0 - 40,5,0.5,No,2.6 - 3.5
3,No issues,3.8,1,1200, $1000-2000 , 1-2% ,1.12,3,3,QUINN LOWRY,107146,5,13,JOSEPH QUENGA,0031H00001rEklFQAS,,,G1,Level 3 - Fully Successful,No,,DOUGLAS JENKINS,0201,02,Employee,16,"10-20 hours, (0.5-1%)",0.8,0 - 40,5,1.91997,Yes,1.6 - 2.5
3,Total Award too Low,4.2,1,,   $0   ,  0%  ,,5,5,HEATH WEAVER,107146,3,13,JOSEPH QUENGA,0031H00001rEklHQAS,,Prorated 5 months,G1,Level 3 - Fully Successful,No,,DOUGLAS JENKINS,0201,02,Employee,20,"20-30 hours, (1-1.5%)",1,0 - 40,5,1,No,2.6 - 3.5
3,Total Award too Low,4.2,1,,   $0   ,  0%  ,,5,5,LAVAUGHN ARIZPE,107146,5,13,ANDREW GOTTO,0031H00001rEklPQAS,,Award not submitted,G2,Level 3 - Fully Successful,No,,SCOTT TEJADA,0080,02,Employee,,"  0 hours, (0%)  ",,0 - 40,3,,No,2.6 - 3.5
3,No issues,3.8,1,,   $0   ,  0%  ,,3,5,ADRIAN HERNANDEZ,107146,5,13,RAY HENRY,0031H00001rEkmpQAC,,,G2,Level 3 - Fully Successful,No,,RONALD LAROSE,0303,02,Employee,32,"30-40 hours, (1.5-2%)",1.6,0 - 40,3,1.6,Yes,1.6 - 2.5
3,Total Award too Low,3.8,1,,   $0   ,  0%  ,,3,5,LAKLAS HOWARD,103690,3,13,ANGELE MONTFORT,0031H00001rEkmqQAC,5,Award not submitted,G3,Level 3 - Fully Successful,No,,PETER LOTT,0301,01,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,,No,1.6 - 2.5
3,Total Award too High,4.2,1,5145,>$5000,>4%,5.06,5,5,THOMAS MARSZALEK,101734,3,12,JUAMADA PAGE,0031H00001rEkmrQAC,5,,G3,Level 3 - Fully Successful,No,,NELSON BARRERA,0301,06,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,5.05731,No,2.6 - 3.5
3,Total Award too High,4.2,1,5003,>$5000,>4%,5.55,3,5,BRUCE REILLY,90106,5,12,JUAMADA PAGE,0031H00001rEkmsQAC,5,,G3,Level 3 - Fully Successful,No,,NELSON BARRERA,0340,02,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,5.55235,No,2.6 - 3.5
5,Total Award too High,3.8,1,3369, $3000-4000 ,>4%,4.21,3,5,STEVEN RUIZ,80027,3,11,JUAMADA PAGE,0031H00001rEkmtQAC,3,,G3,Level 3 - Fully Successful,No,,NELSON BARRERA,0170,04,Supervisor,,"  0 hours, (0%)  ",,0 - 40,,4.20983,No,1.6 - 2.5
5,Total Award too High,3.8,1,3777, $3000-4000 ,>4%,6.28,3,3,KELVIN SMITHGARDNER,60129,3,09,JUAMADA PAGE,0031H00001rEkmuQAC,,,G3,Level 3 - Fully Successful,No,,NELSON BARRERA,0343,01,Employee,,"  0 hours, (0%)  ",,0 - 40,5,6.28149,No,1.6 - 2.5
3,Total Award too High,4.2,1,4596, $4000-5000 ,>4%,4.14,5,5,JOSHUA WILKERSONBIENICK,111117,3,13,JUAMADA PAGE,0031H00001rEksdQAC,,,G3,Level 3 - Fully Successful,No,,NELSON BARRERA,0343,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.13618,No,2.6 - 3.5
3,Total Award too High,3.8,1,3197, $3000-4000 ,>4%,4.52,3,5,ANDREW TONSKI,70775,3,08,WILLIAM WENZEL,0031H00001rEkmvQAC,,,G3,Level 3 - Fully Successful,No,,SANJAY TAYLOR,0343,10,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.51713,No,1.6 - 2.5
3,No issues,3.8,1,3197, $3000-4000 , 1-2% ,1.9,3,3,JOSEPH WATTS,168150,5,15,WILLIAM WENZEL,0031H00001rEkmwQAC,,,G3,Level 3 - Fully Successful,No,,SANJAY TAYLOR,0343,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,1.90128,Yes,1.6 - 2.5
3,Total Award too Low,4.6,1,5100,>$5000, 3-4% ,3.47,5,5,KAINOA KUHAULUA,147034,5,14,WILLIAM WENZEL,0031H00001rEkn0QAC,,,G3,Level 5 - Outstanding,No,,SANJAY TAYLOR,1412,07,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.46859,No,3.6 - 4.0
5,Total Award too Low,4.6,1,4700, $4000-5000 , 3-4% ,3.29,5,3,ARNEL FLORENDO,142950,5,14,WILLIAM WENZEL,0031H00001rEkmyQAC,,,G3,Level 5 - Outstanding,No,,JOPOND LOWE,0343,06,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.28786,No,3.6 - 4.0
3,Total Award too Low,4.6,1,4562, $4000-5000 , 3-4% ,3.38,5,5,STEPHEN WIER,134782,5,14,WILLIAM WENZEL,0031H00001rEkscQAC,,,G3,Level 5 - Outstanding,No,,JOPOND LOWE,0343,04,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.38472,No,3.6 - 4.0
3,Total Award too Low,4.2,1,3871, $3000-4000 , 2-3% ,2.56,5,5,EDWIN EVANGELISTA,151118,3,14,WILLIAM WENZEL,0031H00001rEkmxQAC,,,G3,Level 3 - Fully Successful,No,,NATHAN KAISER,0080,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,2.56157,No,2.6 - 3.5
3,No issues,4.2,1,3967, $3000-4000 , 3-4% ,3.02,3,5,JAE KIM,131341,5,13,WILLIAM WENZEL,0031H00001rEkmzQAC,,,G3,Level 3 - Fully Successful,No,,NATHAN KAISER,0301,09,Employee,,"  0 hours, (0%)  ",,0 - 40,5,3.02038,Yes,2.6 - 3.5
3,No issues,3.8,1,2470, $2000-3000 , 1-2% ,1.93,3,5,VACANT BILLET VACANT BILLET,127885,3,13,WILLIAM WENZEL,0031H00001rEksZQAS,,,G3,Level 3 - Fully Successful,No,,NATHAN KAISER,0343,08,Employee,,"  0 hours, (0%)  ",,0 - 40,5,1.93142,Yes,1.6 - 2.5
3,No issues,3.8,1,1415, $1000-2000 , 1-2% ,1.11,3,5,JOHN WAGGONER,127885,3,13,WILLIAM WENZEL,0031H00001rEksaQAC,,,G3,Level 3 - Fully Successful,No,,NATHAN KAISER,0303,08,Employee,10,"10-20 hours, (0.5-1%)",0.5,0 - 40,5,1.60646,Yes,1.6 - 2.5
3,No issues,3,1,,   $0   ,  0%  ,,3,3,KYLE WAGNER,127885,3,13,WILLIAM WENZEL,0031H00001rEksbQAC,,,G3,Level 3 - Fully Successful,No,,NATHAN KAISER,0344,08,Employee,10,"10-20 hours, (0.5-1%)",0.5,0 - 20,3,0.5,Yes,0.0 - 1.0
5,Total Award too High,4.6,1,3104, $3000-4000 , 2-3% ,2.64,5,3,LAMONT WILSON,117516,5,13,RAY HENRY,0031H00001rEkseQAC,5,,G4,Level 5 - Outstanding,No,,Tom Reseller,0801,05,Supervisor,40,"40 hours, (2%)",2,0 - 40,,4.64134,No,3.6 - 4.0
3,No issues,4.6,1,2277, $2000-3000 , 1-2% ,2,5,5,JACOB WORDEN,114059,5,13,RAY HENRY,0031H00001rEksfQAC,5,,G4,Level 5 - Outstanding,No,,Tom Reseller,0346,04,Supervisor,40,"40 hours, (2%)",2,0 - 40,,3.99634,Yes,3.6 - 4.0
5,Total Award too High,4.6,1,5294,>$5000,>4%,4.79,5,5,MICHAEL YUNKER,110603,3,13,JOSEPH QUENGA,0031H00001rEksgQAC,,,G4,Level 5 - Outstanding,No,,EMPLOYEVANTIZE LAROSEE 153,0801,03,Employee,,"  0 hours, (0%)  ",,0 - 40,5,4.78649,No,3.6 - 4.0
