Id,Personnel__c,Personnel__c.Competency__c,Personnel__c.Employee_Type__c,Personnel__c.FirstName,Personnel__c.Id,Personnel__c.LastName,Personnel__c.Name,Personnel__c.Pay_Grade__c,Personnel__c.Retirement__c,Personnel__c.SVC__c,Personnel__c.Title,Project__c,Project__c.BT__c,Project__c.Behind__c,Project__c.Budget_FY18__c,Project__c.Budget_FY19__c,Project__c.Budget_FY20__c,Project__c.Committed__c,Project__c.Completion__c,Project__c.Country__c,Project__c.CreatedDate,Project__c.Estimated_Transition_Date__c,Project__c.Expenditure__c,Project__c.Funding_Type__c,Project__c.G_Organization__c,Project__c.G_Priority__c,Project__c.Id,Project__c.Initiation_Date__c,Project__c.Investment__c,Project__c.LOE__c,Project__c.Name,Project__c.Organization__c,Project__c.PO_Status__c,Project__c.Portfolio__c,Project__c.Remaining__c,Project__c.Resource_Utilization__c,Project__c.State__c,Project__c.Status__c,Project__c.SystemModstamp
a011H00000W6mMnQAJ,0031H00001rEklAQAS,Aerospace Engineer,Contractor,JONATHAN,0031H00001rEklAQAS,GAZAILLE,JONATHAN GAZAILLE,,05,,PETROLEUM OPERATIONS OFFICER,a001H00000k7FjnQAE,5,false,82600000,107380000,139594000,33040000,31,USA,2018-06-14T17:33:02.000Z,2019-11-03,16520000,6.6,B,Emergency,a001H00000k7FjnQAE,2017-06-08,2300000,4,Project 212,C5ISRC,Received,C3I,33040000,57,NJ,Design,2021-07-05T16:57:16.000Z
a011H00000W6mMoQAJ,0031H00001rEklBQAS,Mechanical Engineer,Contractor,NIKETA,0031H00001rEklBQAS,HOPSON,NIKETA HOPSON,,10,,SUPPLY NCO,a001H00000k7FjoQAE,2,false,29300000,38090000,49517000,2930000,30,USA,2018-06-14T17:33:02.000Z,2019-04-23,11720000,6.2,A,Emergency,a001H00000k7FjoQAE,2017-09-27,-16500000,2,Project 213,SC,Review in Process,Ground Maneuver,14650000,60,KS,Deployed,2021-07-05T16:57:16.000Z
a011H00000W6mMpQAJ,0031H00001rEklCQAS,Chemist,Contractor,LESLIE,0031H00001rEklCQAS,KINGMANN,LESLIE KINGMANN,,10,,QUALITY ASSURANCE REPRESENTATIVE,a001H00000k7FjpQAE,1,false,10500000,13650000,17745000,4200000,34,USA,2018-06-14T17:33:02.000Z,2018-07-04,6300000,6.3,E,Emergency,a001H00000k7FjpQAE,2017-03-07,-9400000,3,Project 214,AvMC,Order Created,C3I,,51,NJ,Testing,2021-07-05T16:56:16.000Z
a011H00000W6mMqQAJ,0031H00001rEklDQAS,Mechanical Engineer,Contractor,SHARON,0031H00001rEklDQAS,LARGE,SHARON LARGE,,20,,"COMMANDER,  ENERGY MIDDLE EAST SUB NORTHWEST",a001H00000k7FjqQAE,1,false,40000000,52000000,67600000,16000000,39,USA,2018-06-14T17:33:02.000Z,2020-05-26,16000000,6.4,C,Emergency,a001H00000k7FjqQAE,2017-03-31,-50000000,2,Project 215,GVSC,New,Soldier/Squad,8000000,87,CO,Not Started,2021-07-01T18:40:47.000Z
a011H00000W6mMrQAJ,0031H00001rEklEQAS,Physicist,Contractor,DANIEL,0031H00001rEklEQAS,LOWE,DANIEL LOWE,,10,,PETROLEUM OPERATIONS OFFICER,a001H00000k7FjrQAE,2,false,12500000,16250000,21125000,6250000,65,USA,2018-06-14T17:33:02.000Z,2019-05-10,2500000,6.6,B,Emergency,a001H00000k7FjrQAE,2017-05-19,-89100000,2,Project 216,C5ISRC,Order Created,Basic Research,3750000,66,OH,Testing,2021-07-05T16:57:16.000Z
a011H00000W6mMsQAJ,0031H00001rEklFQAS,Aerospace Engineer,Contractor,QUINN,0031H00001rEklFQAS,LOWRY,QUINN LOWRY,,10,,PETROLEUM OPERATIONS OFFICER,a001H00000k7FjsQAE,3,false,42500000,55250000,71825000,21250000,59,USA,2018-06-14T17:33:02.000Z,2018-12-23,21250000,6.1,A,Emergency,a001H00000k7FjsQAE,2017-11-29,-72400000,2,Project 217,SC,Received,Basic Research,,74,TX,Design,2021-07-05T16:57:16.000Z
a011H00000W6mMtQAJ,0031H00001rEklGQAS,Chemist,Contractor,TIMOTHY,0031H00001rEklGQAS,WATKINS,TIMOTHY WATKINS,,10,,QUALITY ASSURANCE REPRESENTATIVE,a001H00000k7FjtQAE,3,false,5500000,7150000,9295000,1100000,37,USA,2018-06-14T17:33:02.000Z,2019-07-16,550000,6.3,A,Emergency,a001H00000k7FjtQAE,2017-09-18,-96600000,3,Project 218,ARL,Review in Process,Soldier/Squad,3850000,97,NC,Deployed,2021-04-19T12:50:32.000Z
a011H00000W6mMuQAJ,0031H00001rEklHQAS,Physicist,Contractor,HEATH,0031H00001rEklHQAS,WEAVER,HEATH WEAVER,,15,,CHIEF OF OPERATIONS  ENERGY MIDDLE EAST,a001H00000k7FjuQAE,4,false,29200000,37960000,49348000,20440000,63,USA,2018-06-14T17:33:02.000Z,2019-10-30,17520000,6.5,C,Emergency,a001H00000k7FjuQAE,2017-06-18,-87500000,1,Project 219,GVSC,Order Created,Ground Maneuver,-8760000,92,IL,Testing,2021-07-01T18:40:47.000Z
a011H00000W6mMvQAJ,0031H00001rEklIQAS,Computer Engineer,Contractor,TIFFANY,0031H00001rEklIQAS,ZWART,TIFFANY ZWART,,15,,PETROLEUM OPERATIONS OFFICER,a001H00000k7FjvQAE,1,false,90400000,117520000,152776000,45200000,49,USA,2018-06-14T17:33:02.000Z,2020-03-17,45200000,6.3,A,Emergency,a001H00000k7FjvQAE,2017-11-10,-50600000,3,Project 220,SC,Quote Provided,Soldier/Squad,,64,KY,Development,2021-07-05T16:57:16.000Z
a011H00000W6mMwQAJ,0031H00001rEklJQAS,Physicist,Contractor,TRACY,0031H00001rEklJQAS,YATES,TRACY YATES,,20,,JOINT STRATEGIC PLANS OFF FOR SHAPE,a001H00000k7FjwQAE,5,false,16800000,21840000,28392000,3360000,43,USA,2018-06-14T17:33:02.000Z,2020-03-17,6720000,6.5,B,Emergency,a001H00000k7FjwQAE,2017-04-28,-95400000,4,Project 222,C5ISRC,Quote Provided,Lethality,6720000,56,GA,Development,2021-07-05T16:57:16.000Z
a011H00000W6mMxQAJ,0031H00001rEklKQAS,Computer Engineer,Contractor,FARIDA,0031H00001rEklKQAS,DURHAM,FARIDA DURHAM,,10,,SENIOR ENLISTED LEADER/OPERATIONS NCOIC,a001H00000k7FjxQAE,3,false,54700000,71110000,92443000,38290000,54,USA,2018-06-14T17:33:02.000Z,2018-12-09,16410000,6.5,C,Emergency,a001H00000k7FjxQAE,2017-11-07,-80100000,2,Project 223,GVSC,Order Created,Soldier/Squad,,65,AZ,Testing,2021-07-01T18:40:47.000Z
a011H00000W6mMyQAJ,0031H00001rEklLQAS,Electrical Engineer,Contractor,BRIAN,0031H00001rEklLQAS,HARRIS,BRIAN HARRIS,,10,,SENIOR ENLISTED LEADER/OPERATIONS NCOIC,a001H00000k7FjyQAE,1,true,7000000,9100000,11830000,4200000,35,USA,2018-06-14T17:33:02.000Z,2020-01-27,4200000,6.2,B,Emergency,a001H00000k7FjyQAE,2017-06-03,-60400000,4,Project 224,C5ISRC,Quote Provided,Ground Maneuver,-1400000,63,GA,Development,2021-07-05T16:57:16.000Z
a011H00000W6mMzQAJ,0031H00001rEklMQAS,Electrical Engineer,Contractor,ARCHIE,0031H00001rEklMQAS,HERNDON,ARCHIE HERNDON,,05,,"COMMANDER,  CENTRAL",a001H00000k7FjzQAE,1,false,22800000,29640000,38532000,2280000,27,USA,2018-06-14T17:33:02.000Z,2018-06-15,11400000,6.2,B,Emergency,a001H00000k7FjzQAE,2017-12-28,-56800000,2,Project 225,C5ISRC,Received,Ground Maneuver,9120000,70,TX,Design,2021-07-05T16:57:16.000Z
a011H00000W6mN0QAJ,0031H00001rEklNQAS,Mechanical Engineer,Contractor,PAUL,0031H00001rEklNQAS,HERZBERG,PAUL HERZBERG,,10,,CHIEF JOINT LOGISTICS OPERATIONS CTR,a001H00000k7Fk0QAE,3,false,98200000,127660000,165958000,29460000,63,USA,2018-06-14T17:33:02.000Z,2019-06-22,58920000,6.5,B,Emergency,a001H00000k7Fk0QAE,2017-07-31,-64100000,1,Project 226,C5ISRC,Quote Provided,Lethality,9820000,76,CA,Development,2021-07-05T16:57:16.000Z
a011H00000W6mN1QAJ,0031H00001rEklOQAS,Chemist,Contractor,VACANT BILLET,0031H00001rEklOQAS,VACANT BILLET,VACANT BILLET VACANT BILLET,,15,,OPERATIONS NCO,a001H00000k7Fk1QAE,2,true,61600000,80080000,104104000,24640000,49,USA,2018-06-14T17:33:02.000Z,2019-02-13,24640000,6.2,C,Emergency,a001H00000k7Fk1QAE,2017-07-03,-4300000,1,Project 227,GVSC,Quote Provided,Ground Maneuver,12320000,56,VA,Development,2021-07-01T18:40:47.000Z
a011H00000W6mN2QAJ,0031H00001rEklPQAS,Physicist,Contractor,LAVAUGHN,0031H00001rEklPQAS,ARIZPE,LAVAUGHN ARIZPE,,05,,JOINT LIAISON SUPERINTENDENT,a001H00000k7Fk2QAE,2,false,96700000,125710000,163423000,48350000,67,USA,2018-06-14T17:33:02.000Z,2018-06-29,9670000,6.5,B,Emergency,a001H00000k7Fk2QAE,2017-04-22,-8000000,3,Project 228,AC,Received,C3I,38680000,76,NJ,Design,2021-07-05T16:57:16.000Z
a011H00000W6mN3QAJ,0031H00001rEklQQAS,Mechanical Engineer,Contractor,MACK,0031H00001rEklQQAS,COATH,MACK COATH,,05,,"NCOIC, OPERATIONAL SUPPORT",a001H00000k7Fk3QAE,1,false,77800000,101140000,131482000,31120000,53,USA,2018-06-14T17:33:02.000Z,2019-12-10,46680000,6.4,B,Emergency,a001H00000k7Fk3QAE,2017-10-14,600000,1,Project 229,C5ISRC,Quote Approved,Soldier/Squad,,58,VA,Requirement,2021-07-05T16:57:16.000Z
a011H00000W6mN4QAJ,0031H00001rEklRQAS,Physicist,Contractor,HAROLD,0031H00001rEklRQAS,HOBGOOD,HAROLD HOBGOOD,,15,,OPERATIONS OFFICER,a001H00000k7Fk4QAE,1,true,33800000,43940000,57122000,10140000,35,Italy,2018-06-14T17:33:02.000Z,2019-09-04,6760000,6.1,D,Emergency,a001H00000k7Fk4QAE,2017-07-22,-6200000,1,Project 230,CBC,Quote Provided,C3I,16900000,71,,Development,2021-07-05T16:57:16.000Z
a011H00000W6mN5QAJ,0031H00001rEklSQAS,Physicist,Contractor,RICHARD,0031H00001rEklSQAS,MORRIS,RICHARD MORRIS,,20,,"NCOIC, CENTERALIZED DEMIL DIVISION",a001H00000k7Fk5QAE,5,false,30500000,39650000,51545000,15250000,47,Turkey,2018-06-14T17:33:02.000Z,2019-07-08,18300000,6.4,E,Emergency,a001H00000k7Fk5QAE,2017-11-08,3100000,3,Project 231,AvMC,New,Air,-3050000,89,,Not Started,2021-07-05T16:56:16.000Z
a011H00000W6mN6QAJ,0031H00001rEklTQAS,Electrical Engineer,Contractor,MATONDO,0031H00001rEklTQAS,TANDU,MATONDO TANDU,,05,,"NCOIC, RECEIVING AND WAREHOUSING",a001H00000k7Fk6QAE,5,false,16200000,21060000,27378000,9720000,68,UAE,2018-06-14T17:33:02.000Z,2019-07-17,8100000,6.4,A,Emergency,a001H00000k7Fk6QAE,2017-01-21,-96200000,1,Project 232,SC,Quote Provided,Soldier/Squad,-1620000,95,,Development,2021-07-05T16:57:16.000Z
a011H00000W6mN7QAJ,0031H00001rEklUQAS,Chemist,Contractor,JONATHAN,0031H00001rEklUQAS,ACKISS,JONATHAN ACKISS,,05,,"COMMANDER,  DISTRIBUTION EUROPE",a001H00000k7Fk7QAE,3,false,65600000,85280000,110864000,45920000,54,Spain,2018-06-14T17:33:02.000Z,2019-11-16,19680000,6.6,D,Emergency,a001H00000k7Fk7QAE,2017-06-21,-42300000,1,Project 233,AvMC,Quote Provided,Air,,93,,Development,2021-07-05T16:56:16.000Z
a011H00000W6mN8QAJ,0031H00001rEklVQAS,Chemist,Contractor,ZORN,0031H00001rEklVQAS,SLIMAN,ZORN SLIMAN,,10,,"COMMANDER,  DISTRIBUTION EUROPE",a001H00000k7Fk8QAE,4,false,69300000,90090000,117117000,13860000,36,Philippines,2018-06-14T17:33:02.000Z,2019-02-07,6930000,6.2,B,Emergency,a001H00000k7Fk8QAE,2017-06-01,-23300000,4,Project 234,AC,Received,C3I,48510000,98,,Design,2021-07-05T16:57:16.000Z
a011H00000W6mN9QAJ,0031H00001rEklWQAS,Computer Engineer,Contractor,DOMINIC,0031H00001rEklWQAS,BAKER,DOMINIC BAKER,,05,,OPERATIONS OFFICER,a001H00000k7Fk9QAE,4,false,83800000,108940000,141622000,41900000,44,Bahrain,2018-06-14T17:33:02.000Z,2019-11-08,33520000,6.1,C,Emergency,a001H00000k7Fk9QAE,2017-11-08,-95400000,4,Project 235,GVSC,Quote Approved,Ground Maneuver,8380000,80,,Requirement,2021-07-01T18:40:47.000Z
a011H00000W6mNAQAZ,0031H00001rEklXQAS,Mechanical Engineer,Contractor,RAYMOND,0031H00001rEklXQAS,CARPENTER,RAYMOND CARPENTER,,05,,FUELS MANAGER,a001H00000k7FkAQAU,2,false,91700000,119210000,154973000,55020000,40,South Korea,2018-06-14T17:33:02.000Z,2020-02-13,27510000,6.5,E,Emergency,a001H00000k7FkAQAU,2017-08-25,-35500000,4,Project 236,AvMC,Order Created,Air,9170000,77,,Testing,2021-07-05T16:56:16.000Z
a011H00000W6mNBQAZ,0031H00001rEklYQAS,Mechanical Engineer,Contractor,ERIC,0031H00001rEklYQAS,CICERO,ERIC CICERO,,15,,OPERATIONS OFFICER,a001H00000k7FkBQAU,2,false,28300000,36790000,47827000,8490000,52,South Korea,2018-06-14T17:33:02.000Z,2018-09-21,11320000,6.2,C,Emergency,a001H00000k7FkBQAU,2017-07-21,-3600000,1,Project 237,GVSC,Order Created,C3I,8490000,83,,Testing,2021-07-01T18:40:47.000Z
a011H00000W6mNCQAZ,0031H00001rEklZQAS,Computer Engineer,Contractor,BRENT,0031H00001rEklZQAS,COHEN,BRENT COHEN,,20,,OPERATIONS OFFICER,a001H00000k7FkCQAU,1,false,51000000,66300000,86190000,20400000,68,South Korea,2018-06-14T17:33:02.000Z,2019-02-12,5100000,6.6,B,Emergency,a001H00000k7FkCQAU,2017-09-03,-46200000,3,Project 238,C5ISRC,Received,Ground Maneuver,25500000,70,,Design,2021-07-05T16:57:16.000Z
a011H00000W6mNDQAZ,0031H00001rEklaQAC,Computer Engineer,Contractor,CLAYTON,0031H00001rEklaQAC,COLEMAN,CLAYTON COLEMAN,,15,,"SENIOR TRANSPORTATION NCO,  ENERGY EA",a001H00000k7FkDQAU,1,false,5400000,7020000,9126000,3780000,45,UAE,2018-06-14T17:33:02.000Z,2018-09-23,2700000,6.5,D,Emergency,a001H00000k7FkDQAU,2017-09-05,-94800000,3,Project 239,CBC,Received,C3I,-1080000,67,,Design,2021-07-05T16:57:16.000Z
a011H00000W6mNEQAZ,0031H00001rEklbQAC,Computer Engineer,Contractor,JOSH,0031H00001rEklbQAC,ELSTON,JOSH ELSTON,,15,,"CHIEF, CURRENT PLANS AND OPS  ENERGY EUR AND AFR",a001H00000k7FkEQAU,4,false,13200000,17160000,22308000,6600000,28,Bahrain,2018-06-14T17:33:02.000Z,2018-08-30,2640000,6.4,C,Emergency,a001H00000k7FkEQAU,2017-12-27,-99300000,3,Project 240,GVSC,Order Created,Soldier/Squad,3960000,76,,Testing,2021-07-01T18:40:47.000Z
a011H00000W6mNFQAZ,0031H00001rEklcQAC,Chemist,Contractor,ROBERT,0031H00001rEklcQAC,ERSKINE,ROBERT ERSKINE,,10,,"CHIEF, OPERATIONS CTR,  ENERGY EUROPE AND AFRICA",a001H00000k7FkFQAU,4,false,26100000,33930000,44109000,5220000,27,Italy,2018-06-14T17:33:02.000Z,2018-07-19,15660000,6.3,D,Emergency,a001H00000k7FkFQAU,2017-05-11,1900000,4,Project 241,AvMC,Quote Provided,Basic Research,5220000,86,,Development,2021-07-05T16:56:16.000Z
a011H00000W6mNGQAZ,0031H00001rEkldQAC,Computer Engineer,Contractor,MARLON,0031H00001rEkldQAC,HAUGHTON,MARLON HAUGHTON,,05,,SENIOR PETROLEUM LABORATORY TECHNICIAN,a001H00000k7FkGQAU,4,false,83700000,108810000,141453000,16740000,72,Kuwait,2018-06-14T17:33:02.000Z,2018-06-23,50220000,6.3,C,Emergency,a001H00000k7FkGQAU,2017-04-26,4600000,2,Project 242,GVSC,Received,Soldier/Squad,16740000,96,,Design,2021-07-01T18:40:47.000Z
a011H00000W6mNHQAZ,0031H00001rEkleQAC,Computer Engineer,Contractor,NICOLASA,0031H00001rEkleQAC,HERNANDEZ,NICOLASA HERNANDEZ,,05,,OPERATIONS NCOIC,a001H00000k7FkHQAU,3,true,32200000,41860000,54418000,6440000,27,Japan,2018-06-14T17:33:02.000Z,2020-06-03,19320000,6.5,D,Emergency,a001H00000k7FkHQAU,2017-04-20,-17900000,1,Project 243,AvMC,Received,Air,6440000,72,,Design,2021-07-05T16:56:16.000Z
a011H00000W6mNIQAZ,0031H00001rEklfQAC,Aerospace Engineer,Contractor,ROBERT,0031H00001rEklfQAC,HOFFMAN,ROBERT HOFFMAN,,20,,"CHIEF, PLANS AND FUTURE OPNS  ENERGY  EUR AND AFR",a001H00000k7FkIQAU,5,false,68300000,88790000,115427000,27320000,60,Afghanistan,2018-06-14T17:33:02.000Z,2019-09-17,34150000,6.3,B,Emergency,a001H00000k7FkIQAU,2017-11-19,-92800000,3,Project 244,C5ISRC,New,Air,6830000,74,,Not Started,2021-07-05T16:57:16.000Z
a011H00000W6mNJQAZ,0031H00001rEklgQAC,Computer Engineer,Contractor,NATHAN,0031H00001rEklgQAC,KAISER,NATHAN KAISER,,15,,"CHIEF, OPERATIONS DIV,  ENERGY EUROPE AND AFRICA",a001H00000k7FkJQAU,5,false,66400000,86320000,112216000,13280000,68,Italy,2018-06-14T17:33:02.000Z,2018-07-26,13280000,6.1,E,Emergency,a001H00000k7FkJQAU,2017-04-05,-95400000,4,Project 245,AvMC,Review in Process,Ground Maneuver,39840000,81,,Deployed,2021-07-05T16:56:16.000Z
a011H00000W6mNKQAZ,0031H00001rEklhQAC,Computer Engineer,Contractor,CHRISTOPHER,0031H00001rEklhQAC,KARR,CHRISTOPHER KARR,,10,,JOINT OPERATIONS OFFICER,a001H00000k7FkKQAU,2,true,76500000,99450000,129285000,7650000,73,Philippines,2018-06-14T17:33:02.000Z,2018-09-04,30600000,6.2,C,Emergency,a001H00000k7FkKQAU,2017-04-24,-61200000,2,Project 246,GVSC,Order Created,Air,38250000,100,,Testing,2021-07-01T18:40:47.000Z
a011H00000W6mNLQAZ,0031H00001rEkliQAC,Aerospace Engineer,Contractor,ZARRIEFA,0031H00001rEkliQAC,MOHAMED,ZARRIEFA MOHAMED,,05,,QUALITY ASSURANCE SPECIALIST,a001H00000k7FkLQAU,4,false,44800000,58240000,75712000,31360000,57,GBR,2018-06-14T17:33:02.000Z,2019-11-27,8960000,6.6,D,Emergency,a001H00000k7FkLQAU,2017-02-23,-60000000,1,Project 247,AvMC,Review in Process,Soldier/Squad,4480000,68,,Deployed,2021-07-05T16:56:16.000Z
a011H00000W6mNMQAZ,0031H00001rEkljQAC,Physicist,Contractor,KELLY,0031H00001rEkljQAC,OLEGERIIL,KELLY OLEGERIIL,,05,,SENIOR PETROLEUM LABORATORY TECHNICIAN,a001H00000k7FkMQAU,1,false,94000000,122200000,158860000,18800000,60,Guam,2018-06-14T17:33:02.000Z,2018-07-03,9400000,6.3,C,Emergency,a001H00000k7FkMQAU,2017-10-08,-99100000,3,Project 248,GVSC,Received,Basic Research,65800000,51,,Design,2021-07-01T18:40:47.000Z
a011H00000W6mNNQAZ,0031H00001rEklkQAC,Mechanical Engineer,Contractor,KEYANNA,0031H00001rEklkQAC,SPEARS,KEYANNA SPEARS,,10,,"DEPUTY CHIEF, INTERNATIONAL AGREEMENTS",a001H00000k7FkNQAU,5,false,24100000,31330000,40729000,9640000,29,Singapore,2018-06-14T17:33:02.000Z,2020-05-17,4820000,6.4,A,Emergency,a001H00000k7FkNQAU,2017-03-13,-91700000,2,Project 249,SC,Review in Process,C3I,9640000,67,,Deployed,2021-07-05T16:57:16.000Z
a011H00000W6mNOQAZ,0031H00001rEkllQAC,Aerospace Engineer,Contractor,SCOTT,0031H00001rEkllQAC,TEJADA,SCOTT TEJADA,,15,,PETROLEUM LABORATORY SUPERVISOR,a001H00000k7FkOQAU,4,false,73600000,95680000,124384000,7360000,50,Guam,2018-06-14T17:33:02.000Z,2019-06-07,36800000,6.4,B,Emergency,a001H00000k7FkOQAU,2017-05-03,-70300000,3,Project 250,C5ISRC,Quote Approved,Lethality,29440000,84,,Requirement,2021-07-05T16:57:16.000Z
a011H00000W6mNPQAZ,0031H00001rEklmQAC,Chemist,Contractor,VACANT BILLET,0031H00001rEklmQAC,VACANT BILLET,VACANT BILLET VACANT BILLET,,20,,OPERATIONS NCO,a001H00000k7FkPQAU,5,false,46600000,60580000,78754000,23300000,35,Germany,2018-06-14T17:33:02.000Z,2019-05-30,9320000,6.6,C,Emergency,a001H00000k7FkPQAU,2017-03-15,-23100000,1,Project 251,GVSC,Quote Provided,Lethality,13980000,86,,Development,2021-07-01T18:40:47.000Z
